"Investigation Title","Investigation URL","Investigation Category","Investigation Description"
"Alteration of Bacillus Subtilis DNA Architecture in Space: global effects on DNA supercoiling, methylation, and the transcriptome (BRIC-26)","https://science.nasa.gov/biological-physical/investigations/bric-26-nozpf/","International Space Station","Understanding how the spaceflight environment can generate cellular outcomes that can in turn affect the greater health of the exploration ecosystem."
"ARTEMOSS (Antarctic Isolate 1 (ANT1) Radiation Tolerance Experiment with Moss in Orbit on the Space Station)","https://science.nasa.gov/biological-physical/investigations/artemoss-antarctic-isolate-1-ant1-radiation-tolerance-experiment-with-moss-in-orbit-on-the-space-station/","International Space Station","The moss samples have already been exposed to solar radiation at the NASA Space Radiation Lab and a similar investigation will take place on the International Space Station testing how the moss recovers in different gravity environments."
"Bacterial Adhesion and Corrosion (BAC)","https://science.nasa.gov/biological-physical/investigations/bacterial-adhesion/","International Space Station","explores the formation under microgravity conditions of multi-species biofilms, which may behave differently from single-species biofilms."
"Biological Research In Canisters-24 (BRIC-24)","https://science.nasa.gov/biological-physical/investigations/bric-24-hblqy/","International Space Station","Testing the role of membrane contacts in plant gravity perception"
"Biological Research in Canisters-25 (BRIC-25)","https://science.nasa.gov/biological-physical/investigations/bric-25/","International Space Station","Studies the effect of low Earth orbit on the physiology, cell-to-cell communication, and virulence of the bacterial pathogen *Staphylococcus aureus*."
"BioScience-4","https://www.nasa.gov/ames/research/space-biosciences/bioscience-4-spacex-16","International Space Station","Studying the multiplication of nervous system stem cells in microgravity."
"BRazing of Aluminum alloys IN Space (SUBSA-BRAINS)","https://science.nasa.gov/biological-physical/investigations/brains/","International Space Station","Examines differences in capillary flow, interface reactions, and bubble formation during solidification of brazing alloys in microgravity."
"Cell Science-04 (CS-04)","https://science.nasa.gov/biological-physical/investigations/cell-science-04/","International Space Station","Using Water Bears to Identify Biological Countermeasures to Stress during Multigenerational Spaceflight"
"Characterization of Biofilm Formation, Growth, and Gene Expression on Different Materials and Environmental Conditions in Microgravity (Space Biofilms)","https://science.nasa.gov/biological-physical/investigations/space-biofilms/","International Space Station","Characterizes the mass, thickness, structure, and associated gene expression of biofilms (molds) that form in space by analyzing a fungal species grown on different materials."
"Dendrite Fragmentation and Morphology During Melting and Solidification (DFM)","https://science.nasa.gov/biological-physical/investigations/dfm-hxulp/","International Space Station","Examining potential ability to produce metals with higher strength, both in space and on Earth."
"Device for the Study of Critical Liquids and Crystallization (DECLIC)","https://science.nasa.gov/biological-physical/investigations/device-for-the-study-of-critical-liquids-and-crystallization/","International Space Station","A multi-user facility designed to support experiments in the fields of fluid physics and materials science. It was developed by the Centre National d'Etudes Spatiales (French Space Agency, CNES) and flown in collaboration with NASA."
"DEvice for the study of Critical LIquids and Crystallization - Directional Solidification Insert-Reflight (DSI-R)","https://science.nasa.gov/biological-physical/investigations/device-for-the-study-of-critical-liquids-and-crystallization-directional-solidification-insert-reflight/","International Space Station","Observing clear alloys that freeze like metals in microgravity."
"Dynamics of Microbiomes in Space (DynaMoS)","https://science.nasa.gov/biological-physical/investigations/dynamos/","International Space Station","Examines how microgravity affects metabolic interactions in communities of soil microbes."
"eXposed Root On-Orbit Test System (XROOTS) Tech Demo","https://science.nasa.gov/biological-physical/investigations/xroots/","International Space Station","Uses hydroponic and aeroponic techniques to grow plants without soil or other growth media."
"Fabrication of Amorphous Metals in Space (FAMIS)","https://science.nasa.gov/biological-physical/investigations/famis/","International Space Station","Studying the microstructure of composites of bulk metallic glass (BMG) and tungsten spheres processed in microgravity."
"Flow Boiling and Condensation Experiment (FBCE)","https://science.nasa.gov/biological-physical/investigations/fbce/","International Space Station","An integrated two-phase flow boiling and condensation facility for the International Space Station"
"Foam Optics and Mechanics (FOAM)","https://science.nasa.gov/biological-physical/investigations/foam/","International Space Station","Studies the relative stability of foams and bubbly liquids in order to gain insight into how they evolve with time."
"FSL Soft Matter Dynamics -- Particle STAbilised Emulsions and Foams (PASTA)","https://science.nasa.gov/biological-physical/investigations/fsl-soft-matter-dynamics/","International Space Station","Aims to study the dynamics of droplets and their size evolution in emulsions. It is sponsored by the European Space Agency (ESA) with a BPS Co-Investigator."
"GEARS (Genomic Enumeration of Antibiotic Resistance in Space)","https://science.nasa.gov/?post_type=topic&p=430060","International Space Station","This investigation will focus on two types of antibiotic-resistant bacteria, Enterococcus faecalis (EF) and Enterococcus faecium, that have been found on the International Space Station and can be hazardous to crew health."
"Gravitation Effects on Distortion in Sintering (GEDS)","https://science.nasa.gov/biological-physical/investigations/gravitation-effects-on-distortion-in-sintering/","International Space Station","Exploring liquid-phase sintering as a means to perform in-space fabrication and repair."
"Growth of Ternary Compound Semiconductors (MSL SCA-GTCS)","https://science.nasa.gov/biological-physical/investigations/gtcs/","International Space Station","Comparing the structural quality of crystals grown on Earth and in microgravity."
"Role of Mesenchymal Stem Cells in Microgravity Induced Bone Loss (MABL-A)","https://science.nasa.gov/biological-physical/investigations/mabl-a/","International Space Station","Assesses the effects of microgravity on bone marrow mesenchymal stem cells (MSCs), specifically their capacity to secrete bone forming and bone dissolving cytokines (small secreted proteins that affect other cells)."
"MeF1 (Megakaryocytes Orbiting in Outer Space and Near Earth)","https://science.nasa.gov/biological-physical/investigations/mef1-megakaryocytes-orbiting-in-outer-space-and-near-earth/","International Space Station","This investigation will study how microgravity affects platelets and bone-marrow megakaryocytes during their development and operation."
"Micro-14A","https://www.nasa.gov/ames/research/space-biosciences/micro-14-spacex-16","International Space Station","Studying the effects of spaceflight on *Candida albicans (C. albicans)*, a pathogenic yeast that can infect the human body."
"Micro-16","https://science.nasa.gov/biological-physical/investigations/micro-16/","International Space Station","Determining loss of muscle mass and strength in space on humans by investigating the effects of space on tiny worms"
"Microbial Tracking-3 (MT-3)","https://science.nasa.gov/biological-physical/investigations/microbial-tracking-3/","International Space Station","Cataloging and characterizing potential disease-causing microorganisms aboard the International Space Station (ISS)."
"Microgravity Associated Bone Loss-B (MABL-B)","https://science.nasa.gov/biological-physical/investigations/microgravity-associated-bone-loss-b-mabl-b/","International Space Station","This investigation tests potential treatments to prevent bone loss in astronauts by examining how microgravity affects bone-forming and bone-degrading cells. Focusing on blocking IL-6 protein signaling pathways that may contribute to bone deterioration in space."
"Microgravity Investigation of Thermophysical Properties of Supercooled Molten Metal Oxides (ELF 5/Superglass)","https://science.nasa.gov/biological-physical/investigations/elf-5/","International Space Station","Measures the density, thermal expansion coefficient, viscosity and surface tension of supercooled liquids over a wide range of temperatures and compositions."
"MISSE-SEED","https://science.nasa.gov/biological-physical/investigations/misse-seed/","International Space Station","Investigating the effects of long-duration space radiation exposure on seed quality and storage"
"Multi-use Variable-g Platform Cell-02 (MVP Cell-02)","https://science.nasa.gov/biological-physical/investigations/mvp-cell-02/","International Space Station","This investigation's goal is to understand the effects of the space environment on evolutionary processes in the bacterium *Bacillus subtilis*."
"PH-07 (Plant Habitat-07)","https://science.nasa.gov/?post_type=topic&p=430257","International Space Station","This investigation will research ++'++ Outredgeous ++'++ romaine lettuce grown in microgravity and study its response to various amounts of water."
"Pick-and-eat Salad-crop Productivity, Nutritional Value, and Acceptability to Supplement the ISS Food System (Veg-05)","https://science.nasa.gov/biological-physical/investigations/veg-05-rjtim/","International Space Station","Expands crop variety to dwarf tomatoes and focuses on the impact of light quality and fertilizer on fruit production, microbial food safety, nutritional value, taste acceptability by the crew and the overall behavioral health benefits of having plants and fresh food in space."
"Plant RNA Regulation Redux in Multi Variable Platform (MVP) - (MVP-Plant-01)","https://science.nasa.gov/biological-physical/investigations/mvp-plant-01/","International Space Station","Profiles and monitors shoot and root development in plants in microgravity."
"Plant Water Management-5 and 6 (PWM-5 and 6)","https://science.nasa.gov/biological-physical/investigations/pwm/","International Space Station","Profiles and monitors shoot and root development in plants in microgravity."
"Quantifying Selection for Pathogenicity and Antibiotic Resistance in Bacteria and Fungi on the ISS -- a Microbial Tracking Study - (MT-3C)","https://science.nasa.gov/biological-physical/investigations/mt-3c-irtnb/","International Space Station","Continues the third point in a time series focused on ongoing monitoring of pathogenicity (ability to cause disease)."
"Real-Time Protein Crystal Growth-2 (RTPCG-2)","https://science.nasa.gov/biological-physical/investigations/rtpcg-2/","International Space Station","Investigating protein crystal growth in microgravity to identify possible targets for drugs to treat disease"
"Residence Time Driven Flame Spread (SoFIE-RTDFS)","https://science.nasa.gov/biological-physical/investigations/rtdfs/","International Space Station","Studies steady and unsteady flame propagation over solid fuels in a microgravity environment."
"Ring Sheared Drop (RSD)","https://science.nasa.gov/biological-physical/investigations/rsd/","International Space Station","Examining the formation and flow of amyloid in microgravity to better understand neurodegenerative diseases"
"Rodent Research-10 (RR-10)","https://science.nasa.gov/biological-physical/investigations/rr-10-rwufc/","International Space Station","Investigating how microgravity affects the cellular and molecular mechanisms of normal bone tissue regeneration in space."
"Rodent Research-20 (RR-20)","https://science.nasa.gov/biological-physical/investigations/rr-20/","International Space Station","This investigation aims to improve understanding the impact of spaceflight on women's reproductive health."
"SEAQUE (Space Entanglement and Annealing QUantum Experiment)","https://science.nasa.gov/?post_type=topic&p=430282","International Space Station","aims to successfully allow quantum-level communication in space with the use of entanglement."
"Solid Fuel Ignition and Extinction (SoFIE) Facility","https://science.nasa.gov/biological-physical/investigations/sofie/","International Space Station","Studies ignition and flammability of solid spacecraft materials in practical geometries and realistic atmospheric conditions."
"Solid Fuel Ignition and Extinction -- Growth and Extinction Limit (SoFIE-GEL)","https://science.nasa.gov/biological-physical/investigations/sofie-gel/","International Space Station","Studies burning in microgravity, measuring the amount of heating in a fuel sample to determine how fuel temperature affects material flammability."
"SoFIE-MIST (Solid Fuel Ignition and Extinction -- Material Ignition and Suppression Test)","https://science.nasa.gov/?post_type=topic&p=430274","International Space Station","will focus on determining ways to gain control of and suppress fires on the International Space Station."
"Understanding of Microgravity on Animal-Microbe Interactions (UMAMI)","https://science.nasa.gov/biological-physical/investigations/umami/","International Space Station","Examining the effects of spaceflight on the molecular and chemical interactions between beneficial microbes and their animal hosts."
"Light Microscopy Module (LMM)","https://science.nasa.gov/mission/lmm","Light Microscopy Module","A modified commercial, highly flexible, state-of-the-art light imaging microscope facility that provided researchers with powerful diagnostic hardware and software onboard the International Space Station (ISS)."
"Advanced Colloids Experiment-Temperature control-1 (ACE-T-1)","https://science.nasa.gov/biological-physical/investigations/ace-t-1/","Light Microscopy Module","Studies tiny, suspended particles which have been designed to connect themselves in a specific way to form organized structures within water."
"Advanced Colloids Experiment -- Temperature-2 (ACE-T-2)","https://science.nasa.gov/biological-physical/investigations/ace-t-2/","Light Microscopy Module","Looks at the assembly of complex structures from micron-scale colloidal particles interacting via tunable attractive interactions."
"Advanced Colloids Experiment -- Temperature-4 (ACE-T-4)","https://science.nasa.gov/biological-physical/investigations/ace-t-4-ydzkc/","Light Microscopy Module","Examines the transition of an ordered crystal to a disordered glass to determine how increasing disorder affects structural and dynamic properties."
"Advanced Colloids Experiment -- Temperature-5 (ACE-T-5)","https://science.nasa.gov/biological-physical/investigations/ace-t-5/","Light Microscopy Module","Examines the physical and chemical characteristics of a new class of soft materials, bicontinuous interfacially jammed emulsion gels, or bijels."
"Advanced Colloids Experiment -- Temperature-7 (ACE-T-7)","https://science.nasa.gov/biological-physical/investigations/ace-t-7-kpsoh/","Light Microscopy Module","Involves the design and assembly of complex three-dimensional structures from small particles suspended within a fluid medium."
"Advanced Imaging, Folding, and Assembly of Colloidal Molecules (ACE-T-9)","https://science.nasa.gov/biological-physical/investigations/ace-t-9/","Light Microscopy Module","Investigating the imaging, folding, and assembly of complex colloidal molecules within a fluid medium."
"Advanced Colloids Experiment-Temperature-10 (ACE-T-10)","https://science.nasa.gov/biological-physical/investigations/ace-t-10/","Light Microscopy Module","Investigates the growth kinetics, microscopic dynamics, and restructuring processes in ordered and disordered structures such as colloidal crystals, glasses and gels."
"Advanced Colloids Experiment-Temperature Control and Gradient Sample-11 (ACE-T-11)","https://science.nasa.gov/biological-physical/investigations/ace-t-11/","Light Microscopy Module","Involves the design and assembly of complex three-dimensional (3D) structures from colloids, or small particles suspended within a fluid medium, and control of particle density and phase behavior."
"Advanced Colloids Experiment-Nanoparticle Haloing (ACE-T-12)","https://science.nasa.gov/biological-physical/investigations/ace-t-12/","Light Microscopy Module","Involves design and assembly of complex three-dimensional (3D) structures from colloids, or particles of different sizes suspended in a fluid."
"Advanced Colloids Experiment-Heated-1 (ACE-H-1)","https://science.nasa.gov/biological-physical/investigations/ace-h-1/","Light Microscopy Module","Examines densely packed microscopic spheres, or colloidal mixtures, to study their transition from ordered crystals into disordered glass."
"Advanced Colloids Experiment-Heated-2 (ACE-H-2)","https://science.nasa.gov/biological-physical/investigations/ace-h-2/","Light Microscopy Module","Studies a technique called nanoparticle haloing, which stabilizes colloidal mixtures and may be important for designing advanced materials for use in medicine, imaging and other fields."
"Advanced Colloids Experiment-Microscopy-1 (ACE-M-1)","https://science.nasa.gov/biological-physical/investigations/ace-m-1/","Light Microscopy Module","Studies the behavior of microscopic particles in gels and creams."
"Advanced Colloids Experiment-Microscopy-2 (ACE-M-2)","https://science.nasa.gov/biological-physical/investigations/ace-m-2/","Light Microscopy Module","Observes the microscopic behavior of liquids and gases separating from each other."
"Advanced Colloids Experiment-Microscopy-3 (ACE-M-3)","https://science.nasa.gov/biological-physical/investigations/ace-m-3/","Light Microscopy Module","Involves the design and assembly of complex three-dimensional structures from small particles suspended within a fluid medium."
"Preliminary Advanced Colloids Experiment -- Light Microscopy Module: Biological Samples (PACE-LMM-Bio)","https://science.nasa.gov/biological-physical/investigations/pace-lmm-bio-tjfev/","Light Microscopy Module","Expands the utility of the Light Microscopy Microscope hardware and provides a resource for biological studies on the International Space Station (ISS)."
"Preliminary Advanced Colloids Experiment: 100X Oil Test Target (PACE)","https://science.nasa.gov/biological-physical/investigations/pace/","Light Microscopy Module","A technology demonstration for the Advanced Colloids Experiment (ACE) planned for future International Space Station (ISS) Expeditions."
"The Effect of Macromolecular Transport of Microgravity Protein Crystallization (LMM Biophysics 4)","https://science.nasa.gov/biological-physical/investigations/lmm-biophysics-4/","Light Microscopy Module","Examines the movement of single protein molecules in microgravity in order to understand why proteins crystallized in microgravity are often higher in quality than those grown on Earth."
"Solution Convection and the Nucleation Precursors in Protein Crystallization (LMM Biophysics-5)","https://science.nasa.gov/biological-physical/investigations/lmm-biophysics-5/","Light Microscopy Module","Tests whether solution convection -- movement of molecules through the fluid -- enhances or suppresses formation of the dense liquid clusters from which crystals form."
"Growth Rate Dispersion as a Predictive Indicator for Biological Crystal Samples Where Quality Can be Improved with Microgravity Growth (LMM Biophysics 6)","https://science.nasa.gov/biological-physical/investigations/lmm-biophysics-6/","Light Microscopy Module","Studies ground-based predictions of which crystals benefit from crystallization in microgravity, where Earth's gravity does not interfere with their formation."
"Preliminary Advanced Colloids Experiment - 2: 3D Particle Test (PACE-2)","https://science.nasa.gov/biological-physical/investigations/pace-2-ewpyx/","Light Microscopy Module","Characterizes the resolution of the high magnification colloid experiments with the Light Microscopy Module (LMM) to determine the minimum size of the particles that can be resolved by the advanced Colloids Experiment (ACE)."
"Constrained Vapor Bubble (CVB)","https://science.nasa.gov/biological-physical/investigations/cvb-igumc/","Light Microscopy Module","Aims to achieve a better understanding of the physic of evaporation and condensation and how they affect cooling processes in microgravity using a remotely controlled microscope and a small cooling device."
"Constrained Vapor Bubble-2 (CVB-2)","https://science.nasa.gov/biological-physical/investigations/cvb-2-vtqkw/","Light Microscopy Module","Uses a miniature heat pipe and a mixture of two fuels to investigate the physics and engineering of heat transfer systems."
"LMM Biophysics-2 (LMMBIO-2)","https://science.nasa.gov/biological-physical/investigations/lmmbio-2/","Light Microscopy Module","Characterizes the behavior of dense liquid clusters at different rates of convection, utilizing differential dynamic microscopy."
"Spaceflight-Induced Hypoxic-ROS Signaling (APEX-05)","https://science.nasa.gov/biological-physical/investigations/apex-5-gqwtn/","Light Microscopy Module","Growing different wild and mutant varieties of Arabidopsis thaliana in order to understand how their genetic and molecular stress response systems work in space."
"Transgenic Arabidopsis Gene Expression System - Intracellular Signaling Architecture (APEX-03-2 TAGES-Isa)","https://science.nasa.gov/biological-physical/investigations/apex-03-2-tages-isa/","Light Microscopy Module","Studies thale cress (Arabidopsis thaliana) seedlings grown in microgravity, examining the molecular changes that affect their growth."
"Zero Boil-Off Tank Noncondensables (ZBOT-NC)","https://science.nasa.gov/biological-physical/investigations/zero-boil-off-tank-noncondensables-zbot-nc/","International Space Station","investigates how noncondensable gases interfere with fuel storage systems in microgravity."
"Effect of Long Duration Space Exposure on Seeds","https://science.nasa.gov/biological-physical/investigations/rad-seed/","Low Earth Orbit","Investigating the effects of long duration exposure to microgravity and space radiation on seed viability. This is a collaboration between the United States Space Force and BPS."
"Alternative Splicing and Transcriptome Modulation Under Space Flight Response in Plants","https://taskbook.nasaprs.com/tbp/index.cfm?action=public_query_taskbook_content&TASKID=15301","Ground Research","The purpose of this work is to extend the current functionality of the NASA GeneLab data by adding alternative splicing, novel transcribed regions and genes, and any functional significance, thus providing researchers insights into the modulated transcriptome's structural and functional consequences in response to space flight. The project workflows will help improve the reference genome annotation of Arabidopsis and set up a platform for analyzing current and future data from non-plant eukaryotes like humans, mice, yeast, and other models."
"Assessing Long-Term Effects of Radiation Exposure in Engineered Heart & Vascular Tissues","https://science.nasa.gov/biological-physical/investigations/assessing-long-term-effects-of-radiation-exposure-in-engineered-heart-vascular-tissues/","Ground Research","Understanding how and why radiation exposure causes disease by using heart and blood vessel-like tissues created with stem cell biology and tissue engineering technology."
"Bioengineer Long-lasting 3D Neurovascular Microphysiological System to Model Chronic Inflammation Mediated Neurodegeneration","https://science.nasa.gov/biological-physical/investigations/bioengineer-long-lasting-3d-neurovascular-microphysiological-system/","Ground Research","Developing a long-lasting neurovascular model that can be used to evaluate the impact of chronic stressors to the brain."
"Circadian Rhythm Disruption and Gravitational Disturbance in a Lunar Mission Analog: Consequences for Muscle Function During and After the Mission","https://taskbook.nasaprs.com/tbp/index.cfm?action=public_query_taskbook_content&TASKID=15533","Ground Research","Since Artemis astronauts will experience alterations in muscle condition and circadian rhythm simultaneously, it is critical to develop ground-based studies that will closely mimic this situation. While these stressors will occur temporarily, their effects may linger, and negatively influence muscle recovery after return from the mission. This study examines the combined effects of light cycle disturbances altered gravity in a mammalian model to gain insights into long-lasting effects that will significantly impair muscle recovery during the reloading period."
"Determining the Impact of Space Radiation and Simulated Microgravity on Plant Root Microbial Community Composition and Function","https://taskbook.nasaprs.com/tbp/index.cfm?action=public_query_taskbook_content&TASKID=15409","Ground Research","This project examines the degree to which simulated space radiation (high-energy charged particle beams produced at the NASA Space Radiation Laboratory) and simulated microgravity disrupts plant root microbial community composition resulting in impaired microbial function."
"Develop a Novel Single-Cell Biodosimetry for Brain Genomic Instability and Neurodegeneration to Predict Clinical Health Outcomes in Human Spaceflight Crews","https://taskbook.nasaprs.com/tbp/index.cfm?action=public_query_taskbook_content&TASKID=15616","Ground Research","The goal of this study is to determine how the space-associated stressors and sex affect mammalian brain genomic stability and its impact on age-related brain structure and function, by recreating the intravehicular radiation environment expected on spaceflight vehicles/habitats, and by using a novel genetic sensor in mice that allows for the detection of DNA damage in individual neurons."
"EFRI ELiS: Bioweathering Dynamics and Ecophysiology of Microbially Catalyzed Soil Genesis of Martian Regolith","https://science.nasa.gov/biological-physical/investigations/efri-elis-kpmsg/","Ground Research","Studies how weathering of Martian soil simulants by microorganisms can engineer soil heath and how plants grow in response to soil improvement by microorganisms."
"Extended Culture of Kidney MPS and Organoids to Model Acute and Chronic Exposure to Drugs and Environmental Toxins","https://science.nasa.gov/biological-physical/investigations/extended-culture-of-kidney-mps-and-organoids-to-model-acute-and-chronic-exposure-to-drugs-and-environmental-toxins/","Ground Research","Using kidney chips and organoids to better understand injury and recovery from chronic exposure to drugs, toxins and pathogens."
"Hypobaric Plant Biology in Space Exploration - Molecular Responses of Arabidopsis to Combined Effects of Low Atmospheric Pressures and Microgravity of Spaceflight Vehicles","https://taskbook.nasaprs.com/tbp/index.cfm?action=public_query_taskbook_content&TASKID=15584","Ground Research","The objective of this project is to develop a refined understanding of the metabolic processes involved in plant responses and physiological adaptations to low pressure environments within space exploration vehicles and habitats. The essential drivers of this project are that hypobaric environments will likely be a feature of future exploration vehicles and habitats, together with the knowledge that plants mount complex and costly metabolic responses to hypobaria. This investigations works towards determining whether the combination of hypobaria and microgravity will have a synergistic effect on the physiological adaptation to this complex environment, and that the patterns of gene expression will reveal strategies to both understand and help ameliorate the combined effect."
"Identification of Biomarkers and Pathological Mechanisms via Longitudinal Analysis of Neurological and Cerebrovascular Responses to Neurotoxic Stress Using a Multi-cellular Integrated Model of the Human Brain","https://science.nasa.gov/biological-physical/investigations/identification-of-biomarkers-and-pathological-mechanisms/","Ground Research","Determining how genetically divers human brain tissue responds to neurotoxic stresses that may be encountered in space."
"Integrated Physiological Responses of CNS and Muscle in Drosophila and C. elegans Along a Gravity Continuum","","Ground Research","Spaceflight induces alterations in somatic/cardiac muscle, as well as in the brain. Many of these changes mirror those induced by long-term bed-rest on Earth and with age. This study used the fruit fly *Drosophila* and the worm *Caenorhabditis elegans (C. elegans)* model systems to identify conserved mechanisms underlying the oxidative stress response to altered gravity. This study includes the use of functional, structural, and molecular biological techniques to identify common genetic and molecular components that mediate the effect of microgravity, lunar gravity, and Mars gravity on organ function."
"Long-lived Single- and Multi-organ Tissue Equivalent (OTE) Platforms to Model the Response of Human Tissues to Various Stressors","https://science.nasa.gov/biological-physical/investigations/long-lived-single-and-multi-organ-tissue-equivalent-platforms/","Ground Research","Using human organ tissue equivalents (OTEs) to gain insight into how different human tissues respond to spaceflight stressors."
"Long-term Patient iPC Vessel Chip Model to Assess Stressors of Atherosclerosis and mRNA Therapeutics","https://science.nasa.gov/biological-physical/investigations/long-term-patient-i-pc-vessel-chip-model-to-assess-stressors-of-atherosclerosis-and-mrna-therapeutics/","Ground Research","Studying vascular signaling mechanisms to identify therapeutics for aging and radiation-related vascular diseases."
"Modeling Anthracycline-triggered Vascular Dysfunction","https://science.nasa.gov/biological-physical/investigations/modeling-anthracycline-triggered-vascular-dysfunction/","Ground Research","Using an organ-on-chip platform to investigate how doxorubicin triggers vascular cell dysfunction which will support development of new therapeutic interventions to curtail off-target effects."
